timestamp,temperature,visibility,wind_speed,wind_gust,precipitation,snow_depth
2013-01-13 00:00:00 UTC,44.0,2.0,4.6,,0.055,
2013-01-14 00:00:00 UTC,50.349999999999994,4.05,6.2,24.1,0.01,
2013-10-16 00:00:00 UTC,59.650000000000006,10.0,5.05,,0.0,
2013-02-06 00:00:00 UTC,33.55,7.35,8.55,24.45,0.005,
2013-10-14 00:00:00 UTC,57.25,10.0,6.05,,0.0,
2013-02-12 00:00:00 UTC,42.45,8.3,11.5,25.55,0.42000000000000004,1.2
2013-10-18 00:00:00 UTC,64.05,9.55,12.95,25.55,0.01,
2013-05-05 00:00:00 UTC,51.25,10.0,9.3500000000000014,18.1,0.0,
2013-03-06 00:00:00 UTC,40.2,10.0,15.4,40.5,0.0,
2013-07-03 00:00:00 UTC,76.45,9.6,8.7,20.5,0.155,
2013-02-19 00:00:00 UTC,37.650000000000006,9.7,10.149999999999999,22.05,0.0,
2013-05-14 00:00:00 UTC,51.650000000000006,10.0,10.55,20.5,0.0,
2013-08-16 00:00:00 UTC,71.55,9.95,5.0500000000000007,15.9,0.0,
2013-03-13 00:00:00 UTC,45.4,10.0,11.25,25.9,0.665,
2013-05-27 00:00:00 UTC,62.0,10.0,8.55,20.5,0.0,
2013-08-03 00:00:00 UTC,75.550000000000011,10.0,9.0,19.0,0.0,
2013-08-23 00:00:00 UTC,76.15,9.75,9.35,20.5,0.16,
2013-09-05 00:00:00 UTC,74.25,10.0,10.0,22.0,0.0,
2013-08-11 00:00:00 UTC,74.35,10.0,6.35,,0.0,
2013-11-13 00:00:00 UTC,34.0,10.0,13.5,23.5,0.030000000000000002,
2013-01-10 00:00:00 UTC,45.6,10.0,12.85,25.55,0.0,
2013-11-10 00:00:00 UTC,50.35,10.0,12.5,33.55,0.0,
2013-05-03 00:00:00 UTC,55.45,10.0,8.55,14.95,0.0,
2013-08-27 00:00:00 UTC,78.1,10.0,10.899999999999999,22.0,0.030000000000000002,
2013-09-28 00:00:00 UTC,64.35,10.0,6.9,,0.0,
2013-11-15 00:00:00 UTC,47.2,10.0,6.85,,0.0,
2013-05-02 00:00:00 UTC,55.95,10.0,4.5500000000000007,,0.0,
2013-06-04 00:00:00 UTC,67.5,10.0,10.25,21.5,0.60000000000000009,
2013-10-01 00:00:00 UTC,68.050000000000011,10.0,6.3,,0.0,
2013-01-23 00:00:00 UTC,15.9,10.0,13.95,30.0,0.0,
2013-10-26 00:00:00 UTC,48.2,10.0,10.5,27.5,0.0,
2013-05-30 00:00:00 UTC,77.4,9.85,7.7,14.0,0.0,
2013-07-13 00:00:00 UTC,73.4,6.6,9.1,20.0,0.25,
2013-09-03 00:00:00 UTC,76.4,7.85,6.85,18.55,0.5,
2013-05-29 00:00:00 UTC,64.25,5.8000000000000007,4.35,,0.475,
2013-05-22 00:00:00 UTC,67.4,5.9,6.25,27.5,0.0,
2013-01-16 00:00:00 UTC,35.599999999999994,7.0,6.6999999999999993,20.0,0.655,
2013-01-19 00:00:00 UTC,37.5,10.0,12.55,24.45,0.0,
2013-03-21 00:00:00 UTC,35.95,9.55,8.65,21.0,0.0,
2013-01-20 00:00:00 UTC,46.25,10.0,14.649999999999999,35.95,0.0,
2013-02-17 00:00:00 UTC,30.200000000000003,10.0,19.950000000000003,38.55,0.0,
2013-04-06 00:00:00 UTC,43.55,10.0,12.8,30.05,0.0,
2013-12-12 00:00:00 UTC,27.55,10.0,12.95,24.6,0.0,1.2
2013-08-21 00:00:00 UTC,79.15,9.9,5.65,17.1,0.0,
2013-10-19 00:00:00 UTC,58.849999999999994,10.0,5.8000000000000007,15.9,0.0,
2013-02-09 00:00:00 UTC,29.45,6.1,17.75,32.55,0.91999999999999993,7.5
2013-03-07 00:00:00 UTC,36.75,8.8999999999999986,18.9,38.95,0.005,
2013-12-23 00:00:00 UTC,56.4,7.35,6.4,24.5,0.065,
2013-03-25 00:00:00 UTC,38.400000000000006,8.6499999999999986,9.3,27.95,0.0,
2013-07-10 00:00:00 UTC,79.8,9.15,8.35,22.0,0.05,
2013-12-16 00:00:00 UTC,31.4,10.0,13.0,25.55,0.79499999999999993,1.2
2013-12-20 00:00:00 UTC,44.1,10.0,5.3000000000000007,15.9,0.0,1.2
2013-04-18 00:00:00 UTC,53.849999999999994,10.0,8.2,21.5,0.005,
2013-11-08 00:00:00 UTC,46.2,10.0,13.899999999999999,29.5,0.10500000000000001,
2013-06-27 00:00:00 UTC,77.25,9.1,5.85,20.0,0.055000000000000007,
2013-07-20 00:00:00 UTC,87.800000000000011,9.25,11.8,25.45,0.0,
2013-08-19 00:00:00 UTC,72.4,10.0,6.8,,0.0,
2013-03-22 00:00:00 UTC,34.849999999999994,10.0,13.05,26.0,0.0,
2013-10-15 00:00:00 UTC,59.349999999999994,10.0,4.65,,0.0,
2013-11-27 00:00:00 UTC,49.15,5.65,14.75,38.0,1.81,
